LLAVE,MUNICIPIO,T15ymas,EstisiPEA,RECMPEA,EstisiOCU,RECMOCU,EstisiINF,RECMINF,PEA,NO_PEA,OCUPADOS,DESOCUPADOS,FORMALES,INFORMALES
05006,Castaños,20870.46804308,0.59074051,0.01744214,0.57418841,0.01637141,0.17630982,0.00333681,12329.03093201,8541.43711107,11983.58081536,345.45011665,8303.91244474,3679.66837061
05007,Cuatro Ciénegas,10298.86686188,0.57254246,0.01546479,0.55998542,0.01475999,0.37565286,0.01163836,5896.53852854,4402.32833335,5767.21529949,129.32322904,1898.41654098,3868.79875851
05008,Escobedo,2291.34298507,0.56971502,0.01545529,0.55757406,0.01475015,0.36480761,0.01156689,1305.41251374,985.93047133,1277.59340328,27.81911047,441.69403603,835.89936725
05009,Francisco I. Madero,44428.54681887,0.60872345,0.01577974,0.58869411,0.01492606,0.31908796,0.01335629,27044.69847737,17383.84834150,26154.82363637,889.87484100,11978.20925434,14176.61438203
05010,Frontera,60242.57167419,0.59354455,0.01730445,0.57567767,0.01708750,0.22582314,0.01536858,35756.64983869,24485.92183549,34680.30329232,1076.34654638,21076.13661971,13604.16667261
05011,General Cepeda,9118.28388820,0.54650333,0.01628411,0.53574563,0.01586255,0.38147683,0.01569355,4983.17251321,4135.11137498,4885.08072833,98.09178488,1406.66672142,3478.41400691
05012,Guerrero,1708.70394050,0.57602082,0.01774563,0.56290396,0.01912268,0.28625822,0.02014530,984.24905231,724.45488819,961.83620903,22.41284328,472.70566017,489.13054885
05013,Hidalgo,1469.80151932,0.55375983,0.01593333,0.54677318,0.01525235,0.33313005,0.01508958,813.91704678,655.88447254,803.64804530,10.26900148,314.01298667,489.63505863
05014,Jiménez,7756.81255046,0.57532095,0.01568157,0.56160505,0.01499785,0.34159286,0.01242140,4462.65677252,3294.15577795,4356.26506292,106.39170960,1706.59325381,2649.67180911
05015,Juárez,1346.23476732,0.58336490,0.01552119,0.57026979,0.01481996,0.40663533,0.01156219,785.34610850,560.88865882,767.71702025,17.62908825,220.29040566,547.42661458
05016,Lamadrid,1508.39480261,0.53798126,0.01579706,0.52999550,0.01510511,0.38682692,0.01228590,811.48813781,696.90666480,799.44245965,12.04567816,215.95474672,583.48771293
05017,Matamoros,85206.15060646,0.60261488,0.01499686,0.57979842,0.01439435,0.29723340,0.01219944,51346.49462679,33859.65597966,49402.39153578,1944.10309101,24076.27776168,25326.11377410
05018,Monclova,176721.95169348,0.58667231,0.01626245,0.56973020,0.01588273,0.22889152,0.01009994,103677.87549088,73044.07620260,100683.83350218,2994.04198869,60233.67724425,40450.15625794
05019,Morelos,6674.21825714,0.57938427,0.01543318,0.56618020,0.01472768,0.30435959,0.01161406,3866.93705263,2807.28120451,3778.81025696,88.12679567,1747.44794827,2031.36230869
05020,Múzquiz,53478.58575630,0.56640257,0.01438622,0.55323964,0.01532123,0.27519369,0.01032779,30290.40846334,23188.17729296,29586.47367133,703.93479201,14869.50436467,14716.96930666
05021,Nadadores,5188.29062568,0.56339202,0.01568800,0.55080273,0.01500142,0.31360560,0.01256994,2923.04151166,2265.24911402,2857.72464403,65.31686763,1230.64765880,1627.07698524
05022,Nava,22112.71355937,0.61834052,0.01895845,0.60145160,0.02041620,0.22693960,0.02136232,13673.18678098,8439.52677840,13299.72691194,373.45986903,8281.47644833,5018.25046362
05023,Ocampo,8597.61624975,0.56239225,0.01697586,0.55121981,0.01667402,0.33712625,0.01618579,4835.23278353,3762.38346622,4739.17636572,96.05641781,1840.69420485,2898.48216087
05024,Parras,35767.04227623,0.59273290,0.01688679,0.57248667,0.01630075,0.30311013,0.01041635,21200.30284911,14566.73942711,20476.15483315,724.14801597,9634.80192848,10841.35290466
05025,Piedras Negras,120844.02343412,0.61881000,0.01661934,0.60087453,0.01795998,0.23882974,0.01043682,74779.49005694,46064.53337718,72612.09564299,2167.39441395,43750.94948767,28861.14615532
05026,Progreso,2731.34255614,0.58637094,0.01567707,0.57187209,0.01498953,0.29040378,0.01169536,1601.57989773,1129.76265841,1561.97856295,39.60133478,768.78635939,793.19220356
05027,Ramos Arizpe,66086.99199684,0.63017200,0.01474414,0.60320675,0.01403897,0.22917899,0.01712426,41646.17182242,24440.82017441,39864.11984782,1782.05197460,24718.36946209,15145.75038574
05028,Sabinas,50830.70958055,0.59257279,0.01471866,0.57468494,0.01648353,0.22915013,0.01903019,30120.89522120,20709.81435934,29211.64307153,909.25214967,17563.77960353,11647.86346800
05029,Sacramento,1924.78911746,0.58588578,0.01558807,0.57004891,0.01489754,0.33796668,0.01191561,1127.70656461,797.08255284,1097.22393189,30.48263272,446.70934627,650.51458562
05030,Saltillo,598423.22030340,0.60323763,0.00653730,0.57978685,0.00670941,0.18921027,0.00585610,360991.40403709,237431.81626631,346957.91568525,14033.48835183,233730.09486426,113227.82082100
05031,San Buenaventura,18531.81973720,0.57034196,0.01797153,0.55562588,0.01763768,0.25458965,0.01699983,10569.47439810,7962.34533909,10296.75868357,272.71571453,5578.74914757,4718.00953600
05032,San Juan de Sabinas,33610.66204867,0.56401266,0.00098529,0.54921180,0.01278559,0.26062833,0.01973094,18956.83882630,14653.82322237,18459.37223761,497.46658869,9699.48145418,8759.89078343
05033,San Pedro,81850.43902041,0.59868624,0.01603711,0.57982148,0.01592595,0.32453737,0.01381199,49002.73140129,32847.70761911,47458.64267372,1544.08872757,20895.11626146,26563.52641226
05034,Sierra Mojada,5375.29380570,0.62514693,0.01577472,0.60552194,0.01508604,0.25202245,0.01166582,3360.34842088,2014.94538482,3254.85834176,105.49007912,1900.16364326,1354.69469850
05035,Torreón,528794.32722204,0.62512206,0.00708578,0.59496592,0.00710773,0.23480530,0.00744194,330560.99721113,198233.33001090,314614.60389642,15946.39331471,190450.89328489,124163.71061153
05036,Viesca,16743.67722430,0.58270205,0.01723148,0.56750229,0.01693885,0.32410472,0.01354231,9756.57500158,6987.10222272,9502.07516605,254.49983553,4075.37031078,5426.70485527
05037,Villa Unión,4920.63839378,0.59012452,0.01542321,0.57501751,0.01471695,0.32084561,0.01152182,2903.78936889,2016.84902489,2829.45322004,74.33614886,1250.68799479,1578.76522525
05038,Zaragoza,9880.56172128,0.57085097,0.01862723,0.56088028,0.02006667,0.30725501,0.02114997,5640.32823122,4240.23349006,5541.81219986,98.51603135,2505.96009201,3035.85210785
06001,Armería,24261.39341298,0.62336713,0.01538821,0.60790050,0.01508250,0.39508437,0.00973149,15123.75528966,9137.63812332,14748.51306857,375.24222109,5163.21580906,9585.29725952
06002,Colima,126768.28241059,0.63376289,0.00998231,0.61240004,0.01012297,0.27801214,0.00876178,80341.03305998,46427.24935061,77632.90117998,2708.13187999,42389.78022298,35243.12095701
06003,Comala,17298.26715436,0.62828200,0.01594131,0.60822527,0.01543976,0.36855620,0.01033618,10868.18996933,6430.07718503,10521.24315158,346.94681776,4145.85950758,6375.38364399
06004,Coquimatlán,16510.30171973,0.62231514,0.01352098,0.59581287,0.01327973,0.36518923,0.01058835,10274.61073193,6235.69098780,9837.05028477,437.56044716,3807.66589442,6029.38439035
06005,Cuauhtémoc,22496.86267182,0.58788021,0.01547673,0.57125172,0.01477079,0.31091481,0.01255185,13225.46044493,9271.40222688,12851.37142146,374.08902347,5856.76357168,6994.60784978
06006,Ixtlahuacán,4508.16381015,0.60636539,0.01702264,0.59196003,0.01664123,0.44827766,0.01374480,2733.59452340,1774.56928675,2668.65278659,64.94173682,647.74368331,2020.90910328
06007,Manzanillo,140530.61218800,0.65684912,0.01183097,0.63459621,0.01174966,0.28975497,0.00983430,92307.40849972,48223.20368828,89180.19401294,3127.21448679,48460.75005873,40719.44395421
06008,Minatitlán,6786.58440761,0.62895571,0.01662998,0.61039766,0.01582618,0.33409012,0.01221264,4268.46103367,2518.12337393,4142.51527565,125.94575802,1875.18446870,2267.33080695
06009,Tecomán,94876.47487873,0.63346905,0.01190235,0.61721517,0.01103345,0.34776409,0.01019530,60101.31000355,34775.16487518,58559.19974188,1542.11026167,25564.56861567,32994.63112621
06010,Villa de Álvarez,107479.20966744,0.67236502,0.00844469,0.64820228,0.00778669,0.29052366,0.00839620,72265.26147447,35213.94819296,69668.26836191,2596.99311256,38443.01549031,31225.25287160
07001,Acacoyagua,13226.44407224,0.56398413,0.02335988,0.55781481,0.02433376,0.44867896,0.02441647,7459.50452177,5766.93955047,7377.90633795,81.59818382,1443.47915152,5934.42718642
07002,Acala,23106.83027612,0.57138519,0.01554626,0.56080912,0.01484553,0.42754926,0.01157131,13202.90066422,9903.92961190,12958.52109571,244.37956852,3079.21285388,9879.30824183
07003,Acapetahua,22466.02612506,0.57444432,0.01551890,0.56310758,0.01481719,0.40492646,0.01155892,12905.48116292,9560.54496214,12650.78969617,254.69146675,3553.70115812,9097.08853804
07004,Altamirano,23472.74565142,0.58205265,0.01614034,0.57325607,0.01545479,0.47888529,0.01229660,13662.37382097,9810.37183046,13455.89384163,206.47997934,2215.14126150,11240.75258013
07005,Amatán,15792.95603040,0.56819903,0.01657155,0.56139700,0.01590638,0.54191637,0.01286932,8973.54236195,6819.41366845,8866.11807931,107.42428263,307.65663217,8558.46144715
07006,Amatenango de la Frontera,23306.89541712,0.53536725,0.01831754,0.53093157,0.01911509,0.47982325,0.01927083,12477.74839826,10829.14701886,12374.36659253,103.38180573,1191.17627498,11183.19031754
07007,Amatenango del Valle,6263.96450652,0.55514091,0.01591153,0.54958716,0.01522189,0.51426601,0.01210864,3477.38296351,2786.58154302,3442.59446194,34.78850157,221.25044689,3221.34401504
07008,Angel Albino Corzo,18778.32219768,0.57369149,0.01577525,0.56387367,0.01508284,0.52354591,0.01195050,10772.96361907,8005.35857861,10588.60140819,184.36221088,757.28756773,9831.31384046
07009,Arriaga,31485.42782992,0.55358697,0.01684942,0.54129765,0.01629226,0.37609521,0.01480665,17429.92250496,14055.50532497,17042.98795914,386.93454582,5201.46940019,11841.51855895
07010,Bejucal de Ocampo,5691.18206716,0.54561815,0.01634533,0.54406756,0.01566730,0.51554927,0.01230735,3105.21222885,2585.96983831,3096.38756794,8.82466091,162.30283031,2934.08473763
07011,Bella Vista,14600.71748822,0.54378465,0.01604565,0.53951149,0.01536448,0.51868398,0.01229818,7939.64600398,6661.07148424,7877.25491783,62.39108615,304.09668986,7573.15822797
07012,Berriozábal,35926.26433105,0.58410303,0.01565011,0.57293530,0.01495452,0.39716403,0.01165596,20984.63989253,14941.62443852,20583.42506914,401.21482338,6314.80515247,14268.61991667
07013,Bochil,23194.36403317,0.56734681,0.01950124,0.56306164,0.02132273,0.46907460,0.01915527,13159.24844776,10035.11558541,13059.85667131,99.39177645,2179.96963491,10879.88703639
07014,El Bosque,14492.18551481,0.56817579,0.01634220,0.56308921,0.01566562,0.53604944,0.01241418,8234.10889533,6258.07661947,8160.39322681,73.71566852,391.86530102,7768.52792579
07015,Cacahoatán,33910.77490855,0.53877698,0.00145654,0.53394711,0.01006290,0.39492553,0.01834465,18270.34484684,15640.43006171,18106.56042490,163.78442194,4714.32956471,13392.23086019
07016,Catazajá,13948.81994691,0.56399849,0.01568510,0.55252263,0.01499909,0.43270326,0.01180596,7867.11342700,6081.70651991,7707.03862465,160.07480235,1671.33871722,6035.69990743
07017,Cintalapa,61389.91878052,0.54450759,0.00307629,0.53981733,0.00937798,0.35013585,0.01016014,33427.27700221,27962.64177831,33139.34188742,287.93511479,11644.53063271,21494.81125471
07018,Coapilla,6407.74572283,0.55750004,0.01577428,0.55115550,0.01508017,0.49470401,0.01182679,3572.31847252,2835.42725031,3531.66432584,40.65414668,361.72684732,3169.93747852
07019,Comitán de Domínguez,115807.58930265,0.60450153,0.01197511,0.58815460,0.01317210,0.40122358,0.01053934,70005.86503512,45801.72426752,68112.76672442,1893.09831071,21648.03142488,46464.73529954
07020,La Concordia,34783.11402435,0.58323252,0.01224019,0.57947762,0.01218907,0.51583832,0.01161740,20286.64320058,14496.47082378,20156.03624318,130.60695739,2213.57322235,17942.46302083
07021,Copainalá,16249.12342208,0.57693354,0.01550121,0.56515057,0.01479856,0.45036515,0.01161493,9374.66422325,6874.45919883,9183.20134217,191.46288108,1865.16238241,7318.03895977
07022,Chalchihuitán,9490.36920919,0.55593578,0.01670007,0.55408098,0.01603185,0.58252278,0.01280573,5276.03585022,4214.33335897,5258.43304375,17.60280647,0.00000000,5258.43304375
07023,Chamula,55906.50047204,0.51809320,0.01625299,0.52023691,0.01557184,0.55117655,0.01245372,28964.77794108,26941.72253096,28964.77794108,0.00000000,0.00000000,28964.77794108
07024,Chanal,7323.40749952,0.52079258,0.01769057,0.52782669,0.01710108,0.51345267,0.01217755,3813.97626275,3509.43123678,3813.97626275,0.00000000,53.75315154,3760.22311121
07025,Chapultenango,5569.98661346,0.58056735,0.01564226,0.56882224,0.01494535,0.46022281,0.01167331,3233.75236026,2336.23425319,3168.33226693,65.42009333,604.89739950,2563.43486743
07026,Chenalhó,26209.34399127,0.55042659,0.01853604,0.55187277,0.01821407,0.53899468,0.01691609,14426.31994681,11783.02404445,14426.31994681,0.00000000,299.62299213,14126.69695468
07027,Chiapa de Corzo,72519.80340098,0.58160864,0.01437016,0.56330780,0.01383176,0.39152358,0.01216208,42178.14419311,30341.65920787,40850.97104272,1327.17315039,12457.75777477,28393.21326795
07028,Chiapilla,4296.17933189,0.56125783,0.01592505,0.55122668,0.01525376,0.48399905,0.01199953,2411.26427311,1884.91505878,2368.16867135,43.09560176,288.82197331,2079.34669803
07029,Chicoasén,3749.88132870,0.58201362,0.01546156,0.56929612,0.01475747,0.38544680,0.01147663,2182.48199367,1567.39933503,2134.79287559,47.68911807,689.41313577,1445.37973982
07030,Chicomuselo,24669.42073825,0.57232164,0.01581409,0.56243626,0.01512525,0.48912264,0.01867762,14118.84325614,10550.57748211,13874.97663374,243.86662240,1808.60439480,12066.37223894
07031,Chilón,81460.78317768,0.54847929,0.01940563,0.54487622,0.02013686,0.50359944,0.01641102,44679.55257824,36781.23059944,44386.04333222,293.50924601,3362.43870489,41023.60462733
07032,Escuintla,23131.57439938,0.55711691,0.02321139,0.55189932,0.02421062,0.42777061,0.02427819,12886.99119254,10244.58320684,12766.30022878,120.69096376,2871.29251255,9895.00771623
07033,Francisco León,5236.99270685,0.57824277,0.01641105,0.56921684,0.01574066,0.52011124,0.01273097,3028.25316614,2208.73954071,2980.98441831,47.26874782,257.16565871,2723.81875960
07034,Frontera Comalapa,54773.89333230,0.56982636,0.01598201,0.55888120,0.01662552,0.44723203,0.01756327,31211.60836747,23562.28496483,30612.09918027,599.50918720,6115.45958303,24496.63959724
07035,Frontera Hidalgo,10223.20268304,0.55906957,0.01602099,0.54838914,0.01604100,0.39355801,0.01698985,5715.48151603,4507.72116701,5606.29331718,109.18819884,1582.87001557,4023.42330162
07036,La Grandeza,5268.91379523,0.55686821,0.01606529,0.55265499,0.01538197,0.48867734,0.01190134,2934.09058293,2334.82321230,2911.89148670,22.19909623,337.09270221,2574.79878449
07037,Huehuetán,26574.70428256,0.56635041,0.01615407,0.55645880,0.01620129,0.40161370,0.01027998,15050.59479812,11524.10948444,14787.72815668,262.86664145,4114.96276585,10672.76539082
07038,Huixtán,15990.02009447,0.54730626,0.01602685,0.54448315,0.01534303,0.49174670,0.01190319,8751.43814551,7238.58194896,8706.29643183,45.14171368,843.25684655,7863.03958528
07039,Huitiupán,17076.78137962,0.57922672,0.01621735,0.57098768,0.01553391,0.51582185,0.01218956,9891.32813674,7185.45324288,9750.63185526,140.69628147,942.05489071,8808.57696455
07040,Huixtla,40021.76773296,0.56625124,0.01727380,0.55933861,0.01785204,0.34399043,0.01690003,22662.37563995,17359.39209301,22385.71994896,276.65569099,8618.61470777,13767.10524119
07041,La Independencia,32838.68234815,0.57534771,0.01597733,0.56461918,0.01529987,0.51755093,0.01203725,18893.66054788,13945.02180027,18541.34989877,352.31064911,1545.65945341,16995.69044535
07042,Ixhuatán,7990.77799512,0.55104569,0.01907190,0.54640391,0.02002321,0.47875277,0.01638505,4403.28376075,3587.49423437,4366.19230752,37.09145323,540.58517715,3825.60713036
07043,Ixtacomitán,7820.05798107,0.57578158,0.01558990,0.56457815,0.01489126,0.44392301,0.01164246,4502.64533080,3317.41265027,4415.03384430,87.61148650,943.53012842,3471.50371588
07044,Ixtapa,19067.65838192,0.57993716,0.01586489,0.57019117,0.01517240,0.50087559,0.01200227,11058.04360470,8009.61477722,10872.21046349,185.83314121,1321.68574144,9550.52472205
07045,Ixtapangajoya,4432.29573182,0.58318418,0.01597608,0.57028184,0.01530342,0.50313479,0.01190486,2584.84473993,1847.45099189,2527.65778003,57.18695989,297.61558682,2230.04219321
07046,Jiquipilas,29595.78172331,0.52027707,0.01520942,0.50987050,0.01479652,0.43886907,0.01038295,15398.00651621,14197.77520710,15090.01606651,307.99044970,2101.34289054,12988.67317598
07047,Jitotol,14027.51073906,0.55072958,0.02095119,0.55350246,0.02288170,0.46473966,0.01998919,7725.36511538,6302.14562369,7725.36511538,0.00000000,1206.22455769,6519.14055769
07048,Juárez,16525.42231417,0.54652187,0.01817999,0.53482285,0.01840081,0.41739910,0.01312711,9031.50473696,7493.91757721,8838.17350316,193.33123380,1940.47707512,6897.69642805
07049,Larráinzar,14578.05228603,0.55944582,0.01662494,0.55716418,0.01596893,0.52802223,0.01236198,8155.63047002,6422.42181601,8122.36858492,33.26188510,424.83292235,7697.53566257
07050,La Libertad,3818.21640312,0.54412206,0.01653678,0.53306034,0.01591157,0.46638799,0.01234539,2077.57577335,1740.64062977,2035.33972977,42.23604358,254.56944274,1780.77028703
07051,Mapastepec,35731.74436448,0.56941686,0.01862419,0.56092058,0.01947747,0.42039382,0.02010916,20346.25757295,15385.48679153,20042.67072327,303.58684969,5021.26607214,15021.40465112
07052,Las Margaritas,85913.07992404,0.57764906,0.01494761,0.56896068,0.01350255,0.48792893,0.00621287,49627.60963069,36285.47029335,48881.16480235,746.44482833,6961.68801815,41919.47678420
07053,Mazapa de Madero,5845.66723842,0.52480907,0.01614648,0.52559831,0.01547591,0.48157481,0.01170132,3067.85921418,2777.80802424,3067.85921418,0.00000000,252.73314435,2815.12606983
07054,Mazatán,21243.70548691,0.55727451,0.01554910,0.54762940,0.01484910,0.38823948,0.01168372,11838.57549767,9405.12998924,11633.67763596,204.89786171,3386.03255526,8247.64508071
07055,Metapa,3955.97789448,0.55993000,0.01554347,0.54918102,0.01484367,0.36106043,0.01173677,2215.07070164,1740.90719285,2172.54798779,42.52271385,744.20091139,1428.34707640
07056,Mitontic,7904.96479501,0.53096163,0.01716763,0.53523700,0.01653118,0.53377251,0.01272987,4197.23296219,3707.73183283,4197.23296219,0.00000000,0.00000000,4197.23296219
07057,Motozintla,54647.94147988,0.55038615,0.01803739,0.54483886,0.01883591,0.45400559,0.01829685,30077.46989628,24570.47158360,29774.32206386,303.14783242,4963.85092450,24810.47113936
07058,Nicolás Ruíz,3185.70309953,0.57663602,0.01650823,0.56777478,0.01584382,0.50595448,0.01293551,1836.99114941,1348.71195012,1808.76187901,28.22927040,196.94112200,1611.82075701
07059,Ocosingo,148739.28186701,0.56665926,0.01708514,0.55895690,0.01757357,0.46440590,0.01501180,84284.49148360,64454.79038341,83138.84765297,1145.64383063,14063.44686348,69075.40078949
07060,Ocotepec,8344.34483451,0.53519842,0.01637651,0.53586774,0.01570397,0.51308986,0.01227240,4465.88016318,3878.46467133,4465.88016318,0.00000000,184.48141799,4281.39874519
07061,Ocozocoautla de Espinosa,64696.28953284,0.57606000,0.01599464,0.55953612,0.01509036,0.40429841,0.01285046,37268.94449733,27427.34503552,36199.91077607,1069.03372126,10043.30403669,26156.60673938
07062,Ostuacán,12948.25565399,0.59556320,0.01567982,0.58232201,0.01498718,0.44570223,0.01207241,7711.50454970,5236.75110430,7540.05422973,171.45031997,1768.98778863,5771.06644110
07063,Osumacinta,2940.93269988,0.58416857,0.01596586,0.57256040,0.01528255,0.41802364,0.01272269,1718.00045545,1222.93224443,1683.86159018,34.13886527,454.48219416,1229.37939602
07064,Oxchuc,30208.69842925,0.57603168,0.01631526,0.56966309,0.01564564,0.54363994,0.01245239,17401.16742536,12807.53100389,17208.78050907,192.38691629,786.12549734,16422.65501173
07065,Palenque,87544.04171788,0.58782447,0.01554937,0.57509049,0.01484810,0.41955779,0.01165080,51460.53023184,36083.51148603,50345.74560022,1114.78463162,13615.96072580,36729.78487442
07066,Pantelhó,14305.85279539,0.55848566,0.01638696,0.55533249,0.01571331,0.50088239,0.01240166,7989.61359792,6316.23919747,7944.50487546,45.10872246,778.95514680,7165.54972866
